Name;Age;Nationality;Overall;Club;Value;Preferred Foot;Number;Position
J. Obi;30;Nigeria;72;US Salernitana 1919;2.2M;Left;22;CM
M. Dahoud;25;Germany;79;Borussia Dortmund;23M;Right;8;CM
L. Rodríguez;36;Argentina;79;Gimnasia y Esgrima La Plata;6M;Right;8;CAM
Iago Aspas;33;Spain;84;RC Celta de Vigo;27M;Left;10;ST
A. Dzagoev;31;Russia;76;PFC CSKA Moscow;6M;Right;10;CM
L. Romero;27;Argentina;76;Club Atlético Independiente;7.5M;Right;29;CDM
Antunes;34;Portugal;75;FC Paços de Ferreira;2.1M;Left;5;LB
A. Westwood;31;England;78;Burnley;10M;Right;18;CDM
19 D. Kombarov;31;Russia;72;Spartak Moskva;2M;Left;23;CAM
A. Christiansen;31;Denmark;75;Malmö FF;4.6M;Right;10;CM
Sergi Roberto;29;Spain;81;FC Barcelona;22.5M;Right;20;RB
E. Višća;31;Bosnia and Herzegovina;81;İstanbul Başakşehir FK;21.5M;Right;7;RM
A. Král;23;Czech Republic;75;West Ham United;12M;Right;33;CDM
J. Svensson;28;Norway;78;Adana Demirspor;12.5M;Right;22;RB
E. Vecchio;32;Argentina;76;Rosario Central;6M;Right;10;CAM
Pedro Porro;21;Spain;80;Sporting CP;40.5M;Right;24;RWB
S. Agüero;33;Argentina;87;FC Barcelona;51M;Right;19;ST
18 Joãozinho;28;Brazil;78;FC Krasnodar;10.5M;Left;22;CAM
Welington Dano;21;Brazil;81;Clube Atlético Mineiro;27.5M;Left;7;LB
N. Lodeiro;32;Uruguay;80;Seattle Sounders FC;16.5M;Left;10;CAM
Azpilicueta;31;Spain;83;Chelsea;25M;Right;28;CB
21 S. Luna;32;Uruguay;78;;0;Right;19;RB
19 B. Natcho;30;Israel;77;Olympiacos CFP;8M;Right;6;CM
Y. Atal;25;Algeria;76;OGC Nice;9.5M;Right;20;RM
M. Lemina;27;Gabon;76;OGC Nice;7M;Right;18;CDM
Clinton Mata;28;Angola;78;Club Brugge KV;12.5M;Right;77;RB
Ricardo Esgaio;28;Portugal;78;Sporting CP;12.5M;Right;47;RWB
D. Criscito;34;Italy;76;Genoa;2.4M;Left;4;CB
12 G. Zambrotta;34;Italy;76;AC Milan;825K;Right;19;CM
Rafael;29;Brazil;76;İstanbul Başakşehir FK;6.5M;Right;4;RB
21 Ibai Gómez;30;Spain;78;Athletic Club de Bilbao;13.5M;Right;7;RM
16 L. Osman;34;England;75;Everton;2M;Right;21;CAM
A. Sánchez;32;Chile;80;Inter;17M;Right;7;CF
R. Freuler;29;Switzerland;80;Atalanta;20.5M;Right;11;CM
C. Mayada;30;Uruguay;74;Club Libertad;3.6M;Right;15;RB
A. Marušić;28;Montenegro;79;Lazio;16M;Right;77;RB
L. Miranda;27;Argentina;76;Racing Club;8M;Right;19;CM
C. Immobile;31;Italy;87;Lazio;67.5M;Right;17;ST
Pedraza;25;Spain;77;Villarreal CF;14.5M;Left;24;LB
21 M. Nérez;32;Uruguay;80;;0;Left;3;LB
Fransérgio;30;Brazil;78;FC Girondins de Bordeaux;13.5M;Right;13;CM
João Félix;21;Portugal;83;Atlético de Madrid;82M;Right;7;CAM
13 P. Scholes;37;England;80;Manchester United;400K;Right;22;CAM
J. Roussillon;28;France;77;VfL Wolfsburg;9.5M;Left;15;LB
N. Keïta;26;Guinea;80;Liverpool;27.5M;Right;8;CAM
R. Lukaku;28;Belgium;88;Chelsea;93.5M;Left;9;ST
C. McGregor;28;Scotland;76;Celtic;6.5M;Left;42;CDM
E. Buendía;24;Argentina;79;Aston Villa;26.5M;Right;10;CAM
P. Capelle;34;France;75;Angers SCO;2.6M;Left;15;RM
19 C. Sánchez;32;Uruguay;76;CF Monterrey ;6M;Right;5;RM
A. Romero;27;Paraguay;77;San Lorenzo de Almagro;11.5M;Right;11;ST
21 A. Adnan;26;Iraq;75;;0;Left;0;LB
K. Kampl;30;Slovenia;81;RB Leipzig;24.5M;Right;44;CM
Ismaily;31;Brazil;80;Shakhtar Donetsk;15.5M;Left;31;LB
21 V. Ayala;32;Paraguay;73;Gimnasia y Esgrima La Plata;2M;Right;16;CDM
Joan Jordán;26;Spain;80;Sevilla FC;24.5M;Right;8;CM
Gabriel Jesus;24;Brazil;83;Manchester City;52.5M;Right;9;ST
21 J. Sildero;28;Uruguay;80;;0;Right;11;CAM
Pablo Fornals;25;Spain;79;West Ham United;23M;Right;8;CM
André Silva;25;Portugal;84;RB Leipzig;51M;Right;33;ST
Y. Zhirkov;37;Russia;76;;0;Left;18;LB
R. Falk;29;Denmark;75;F.C. København;5.5M;Right;33;CAM
S. Serdar;24;Germany;76;Hertha BSC;11.5M;Right;8;CM
Isco;29;Spain;82;Real Madrid CF;30M;Right;22;CAM
P. Foden;21;England;84;Manchester City;94.5M;Left;47;CAM
Rafael Carioca;32;Brazil;79;Tigres U.A.N.L.;11.5M;Right;5;CDM
A. Gómez;33;Argentina;85;Sevilla FC;33.5M;Right;24;CAM
21 L. Piszczek;35;Poland;77;Borussia Dortmund;3.2M;Right;26;RB
X. Schlager;23;Austria;80;VfL Wolfsburg;27.5M;Left;24;CDM
20 L. Baines;34;England;75;Everton;2.3M;Left;3;LB
M. Hinteregger;28;Austria;80;Eintracht Frankfurt;18M;Left;13;CB
M. Sissoko;31;France;78;Watford;10M;Right;19;CDM
B. Chilwell;24;England;82;Chelsea;40.5M;Left;21;LWB
21 S. Khedira;33;Germany;81;Hertha BSC;13M;Right;28;CDM
21 Taison;32;Brazil;81;Shakhtar Donetsk;20.5M;Right;7;LM
J. Sambia;24;France;75;Montpellier Hérault SC;8M;Right;6;RWB
M. Pašalić;26;Croatia;78;Atalanta;17.5M;Right;88;CM
A. Zambo Anguissa;25;Cameroon;76;Napoli;10.5M;Right;29;CDM
C. Ansaldi;34;Argentina;78;Torino F.C.;5M;Right;15;LWB
M. Rybus;31;Poland;75;FC Lokomotiv Moscow;4.1M;Left;31;LB
L. Montes;35;Mexico;77;Club León;4.2M;Left;10;CM
João Mário;28;Portugal;80;SL Benfica;21M;Right;24;CM
A. González;26;Mexico;73;CF Monterrey ;3.6M;Left;21;CAM
O. Yokuşlu;27;Turkey;76;RC Celta de Vigo;8.5M;Right;5;CDM
A. Kramarić;30;Croatia;83;TSG Hoffenheim;35.5M;Right;27;ST
Bruno Guimarães;23;Brazil;79;Olympique Lyonnais;24.5M;Right;39;CM
H. Hateboer;27;Netherlands;81;Atalanta;25M;Right;33;RWB
F. Midtsjø;27;Norway;78;AZ Alkmaar;15M;Right;6;CM
A. Cresswell;31;England;79;West Ham United;12.5M;Left;3;LB
N. Zaniolo;21;Italy;78;Roma;31.5M;Left;22;CAM
19 D. Glushakov;31;Russia;74;Spartak Moskva;3.8M;Right;8;CM
J. Iličić;33;Slovenia;84;Atalanta;27M;Left;72;CAM
J. dos Santos;31;Mexico;76;LA Galaxy;6M;Right;8;CM
Ayoze Pérez;27;Spain;78;Leicester City;15M;Right;17;RW
16 Mikel Arteta;33;Spain;78;Arsenal;5M;Right;8;CM
De Marcos;32;Spain;77;Athletic Club de Bilbao;7.5M;Right;18;RB
A. Candreva;34;Italy;79;U.C. Sampdoria;8M;Right;87;RM
Petros;32;Brazil;77;Al Nassr;8.5M;Right;6;CDM
Oyarzabal;24;Spain;85;Real Sociedad;77.5M;Left;10;LW
R. Borré;25;Colombia;78;Eintracht Frankfurt;19M;Right;19;ST
15 M. Jansen;28;Germany;76;Hamburger SV;4.6M;Left;7;LB
A. Haidara;23;Mali;78;RB Leipzig;21M;Right;8;CM
S. Zuber;29;Switzerland;75;AEK Athens;5.5M;Right;17;LM
A. Delort;29;Algeria;81;OGC Nice;25.5M;Right;7;ST
D. Ings;28;England;81;Aston Villa;26.5M;Right;20;ST
G. Sigurðsson;31;Iceland;79;Everton;14.5M;Right;10;CAM
E. Hazard;30;Belgium;85;Real Madrid CF;52M;Right;7;LW
21 W. Rooney;34;England;76;Derby County;3.5M;Right;32;CAM
S. Amallah;24;Morocco;73;Standard de Liège;4.6M;Right;19;CAM
J. Vertonghen;34;Belgium;81;SL Benfica;8.5M;Left;5;CB
R. Christie;26;Scotland;74;AFC Bournemouth;5.5M;Left;10;CAM
20 Rômulo;32;Italy;75;Brescia;5M;Right;28;RM
M. Layún;33;Mexico;74;Club América;2.2M;Right;29;RB
16 L. González;34;Argentina;77;River Plate;3.3M;Right;27;CM
E. Pulgar;27;Chile;75;Fiorentina;6M;Right;15;CDM
L. Ferguson;21;Scotland;71;Aberdeen;4.2M;Right;19;CM
M. Ritchie;31;Scotland;74;Newcastle United;3.1M;Left;11;LWB
21 P. Hetemaj;33;Finland;71;Benevento;1.2M;Right;56;RWB
21 O. Onazi;27;Nigeria;74;SønderjyskE;4.3M;Right;8;CDM
D. Sidibé;28;France;78;AS Monaco;12.5M;Right;29;RB
M. Guendouzi;22;France;77;Olympique de Marseille;20M;Right;6;CM
D. Baselli;29;Italy;76;Torino F.C.;7.5M;Right;8;CAM
A. Thomasson;27;France;76;RC Strasbourg Alsace;8.5M;Right;10;CAM
Miguel Veloso;35;Portugal;78;Hellas Verona;5.5M;Left;4;CM
M. Benítez;30;Argentina;73;Defensa y Justicia;2.6M;Left;3;LB
F. Chiesa;23;Italy;83;Juventus;80.5M;Right;22;CAM
Rodrigo;30;Spain;79;Leeds United;17M;Left;19;LW
C. Pavón;25;Argentina;78;Boca Juniors;18.5M;Right;31;RM
F. Ghoulam;30;Algeria;77;Napoli;9M;Left;31;LB
B. Sarr;29;France;75;FC Bayern München;4.9M;Right;20;RB
19 Juanfran;33;Spain;80;Atlético de Madrid;5.5M;Right;20;RB
F. Acheampong;27;Ghana;77;Shenzhen FC;11M;Left;7;LW
D. Lezcano;30;Paraguay;76;Fútbol Club Juárez;7.5M;Right;8;ST
E. Zahavi;33;Israel;80;PSV;13.5M;Right;7;ST
R. Steffen;29;Switzerland;78;VfL Wolfsburg;14M;Left;11;LM
21 M. Baldona;36;Uruguay;80;;0;Right;5;CDM
S. Vrsaljko;29;Croatia;80;Atlético de Madrid;18.5M;Right;24;RB
K. Fortounis;28;Greece;80;Olympiacos CFP;21M;Right;10;CAM
R. Zobnin;27;Russia;77;Spartak Moskva;11.5M;Right;47;CDM
Escudero;31;Spain;78;Granada CF;10M;Left;3;LB
Manu Trigueros;29;Spain;79;Villarreal CF;17M;Right;14;CM
21 Fábio Coentrão;32;Portugal;75;Rio Ave FC;3.9M;Left;17;LB
17 Xabi Alonso;34;Spain;82;FC Bayern München;6M;Right;14;CM
20 J. Mathieu;35;France;81;Sporting CP;5.5M;Left;22;CB
21 A. Trebel;29;France;74;RSC Anderlecht;4.1M;Left;25;CM
A. Plea;28;France;79;Borussia Mönchengladbach;18M;Right;14;CF
Aleix Vidal;31;Spain;78;RCD Espanyol de Barcelona;10M;Right;22;RB
P. Aubameyang;32;Gabon;85;Arsenal;43.5M;Right;14;ST
19 Bruno César;29;Brazil;74;Sporting CP;5.5M;Left;11;CAM
Vieirinha;35;Portugal;73;PAOK;925K;Right;20;RB
Mario Gaspar;30;Spain;79;Villarreal CF;15M;Right;2;RB
J. Lerma;26;Colombia;75;AFC Bournemouth;6M;Right;8;CDM
D. Blanco;26;Argentina;75;Club Atlético Independiente;6.5M;Right;23;CAM
A. Lacazette;30;France;82;Arsenal;30M;Right;9;ST
D. Sinkgraven;25;Netherlands;75;Bayer 04 Leverkusen;6.5M;Left;22;CM
J. Buffarini;32;Argentina;76;SD Huesca;5M;Right;19;RB
J. Kurtić;32;Slovenia;74;PAOK;3.3M;Right;27;CM
Wagner Laranjo;37;Brazil;77;Palmeiras;2.1M;Right;25;CDM
17 J. Barton;33;England;75;Burnley;2.5M;Right;19;CDM
N. Vlašić;23;Croatia;80;West Ham United;33.5M;Right;11;CAM
P. Lees-Melou;28;France;76;Norwich City;7.5M;Right;20;CM
J. Sánchez Miño;31;Argentina;74;Estudiantes de La Plata;3.1M;Left;14;LB
Fernando;33;Brazil;84;Sevilla FC;21M;Right;25;CDM
E. Alioski;29;North Macedonia;73;Al Ahli;2.7M;Left;7;LB
F. Thauvin;28;France;80;Tigres U.A.N.L.;21M;Left;26;RW
R. Faivre;22;France;76;Stade Brestois 29;15M;Left;21;CAM
M. Ozdoev;28;Russia;77;;0;Right;7;CDM
B. Saka;19;England;80;Arsenal;45.5M;Left;7;LM
V. Lazaro;25;Austria;77;SL Benfica;14M;Right;22;RM
20 E. Lavezzi;34;Argentina;80;Hebei FC;8M;Right;22;CAM
Y. M'Vila;31;France;79;Olympiacos CFP;12.5M;Right;6;CDM
R. Ripart;28;France;75;ESTAC Troyes;6M;Right;20;ST
F. Maouassa;22;France;77;Club Brugge KV;13.5M;Left;11;LWB
D. Zappacosta;29;Italy;79;Atalanta;15.5M;Right;77;RWB
O. Dorley;22;Liberia;75;SK Slavia Praha;11M;Left;19;LM
20 G. Kanga;28;Gabon;78;AC Sparta Praha;10.5M;Right;9;CAM
M. Hummels;32;Germany;86;Borussia Dortmund;44M;Right;15;CB
I. Kahveci;25;Turkey;75;Fenerbahçe SK;7.5M;Left;17;CAM
Marlos;33;Ukraine;81;Shakhtar Donetsk;16M;Left;11;CAM
21 David Luiz;33;Brazil;79;Arsenal;8.5M;Right;23;CB
Bartra;30;Spain;80;Real Betis Balompié;17.5M;Right;5;CB
16 J. Riise;34;Norway;72;Aalesunds FK;1M;Left;6;CDM
David Silva;35;Spain;85;Real Sociedad;22M;Left;21;CAM
M. Moreno;26;Argentina;75;Atlanta United;7M;Right;10;CAM
11 P. Vieira;34;France;76;Manchester City;0;Right;24;CDM
L. Kalvach;25;Czech Republic;76;FC Viktoria Plzeň;9.5M;Right;23;CDM
17 D. Kuyt;35;Netherlands;75;Feyenoord;1.5M;Right;7;ST
P. Hrošovský;29;Slovakia;74;KRC Genk;4.1M;Right;17;CM
S. Rudy;31;Germany;76;TSG Hoffenheim;6M;Right;16;CM
S. Fofana;26;Côte d'Ivoire;78;Racing Club de Lens;17.5M;Right;8;CM
G. Hamer;24;Netherlands;73;Coventry City;6M;Right;38;CM
S. Sturaro;28;Italy;72;Genoa;2.3M;Right;27;CB
Everton Andrão;25;Brazil;79;Fluminense;17M;Right;21;CDM
R. Ortiz;31;Paraguay;74;Club Olimpia;3M;Left;6;CDM
X. Shaqiri;29;Switzerland;79;Olympique Lyonnais;17M;Left;29;RM
S. Amrabat;24;Morocco;76;Fiorentina;9.5M;Right;34;CM
Z. Ibrahimović;39;Sweden;84;AC Milan;14.5M;Right;11;ST
S. Bastien;24;Congo DR;73;Standard de Liège;4.6M;Right;28;RM
R. Bensebaini;26;Algeria;79;Borussia Mönchengladbach;21M;Left;25;CB
D. Nagbe;30;United States;74;Columbus Crew;3.5M;Right;6;CAM
Rochina;30;Spain;77;Granada CF;10M;Left;21;CAM
Reguilón;24;Spain;81;Tottenham Hotspur;32.5M;Left;3;LB
F. Navarro;32;Mexico;75;Club León;3.9M;Right;5;RB
N. Amrabat;34;Morocco;76;AEK Athens;3.5M;Right;7;RM
F. Mollet;29;France;77;Montpellier Hérault SC;10.5M;Right;25;CAM
Emerson;22;Brazil;79;Tottenham Hotspur;25M;Right;12;RB
S. Sensi;25;Italy;80;Inter;27.5M;Right;12;CM
Iñaki Williams;27;Spain;81;Athletic Club de Bilbao;30M;Right;9;ST
K. Havertz;22;Germany;84;Chelsea;94.5M;Left;29;CAM
N. Chadli;31;Belgium;76;İstanbul Başakşehir FK;6M;Right;11;LM
A. Fulgini;24;France;78;Angers SCO;20M;Right;10;CAM
M. Bero;25;Slovakia;72;Vitesse;3.1M;Right;21;RM
J. Amavi;27;France;76;Olympique de Marseille;8M;Left;23;LB
Elias Fontoira;25;Brazil;74;Internacional;4.1M;Right;6;CDM
Rúben Ribeiro;33;Portugal;72;Atakaş Hatayspor;1.4M;Right;7;CAM
J. Toornstra;32;Netherlands;76;Feyenoord;6M;Right;28;CM
M. Vecino;29;Uruguay;78;Inter;13.5M;Right;8;CM
Dani Olmo;23;Spain;82;RB Leipzig;46M;Right;25;CAM
21 Danilo;24;Brazil;72;OGC Nice;3.3M;Right;21;CDM
A. Castro-Montes;24;Belgium;74;KAA Gent;6M;Right;14;CAM
V. Verre;27;Italy;75;U.C. Sampdoria;6.5M;Right;8;CAM
21 Carlos Eduardo;30;Brazil;76;Al Hilal;7M;Right;3;ST
R. Krunić;27;Bosnia and Herzegovina;75;AC Milan;6M;Right;33;CM
L. Kurzawa;28;France;76;Paris Saint-Germain;7M;Left;20;LB
21 E. Riquero;32;Uruguay;79;;0;Right;8;CDM
21 S. Taïder;28;Algeria;74;Al Ain;4.2M;Right;8;CM
R. Mahrez;30;Algeria;86;Manchester City;65.5M;Left;26;RW
16 Fábio Santos;29;Brazil;72;Cruz Azul;1.6M;Left;5;LB
Emilio Piodão;29;Brazil;75;Bahia;4.8M;Right;16;CDM
J. Bořil;30;Czech Republic;76;SK Slavia Praha;6.5M;Right;18;LB
Y. Herrera;23;Venezuela;78;RCD Espanyol de Barcelona;22M;Right;25;CDM
D. Zakaria;24;Switzerland;80;Borussia Mönchengladbach;30.5M;Right;8;CB
Y. Fofana;22;France;78;AS Monaco;21.5M;Right;22;CM
F. Bustos;25;Argentina;77;Club Atlético Independiente;13M;Right;16;RM
V. Berisha;28;Kosovo;74;Stade de Reims;4.2M;Right;14;CAM
19 M. Diamé;31;Senegal;75;Newcastle United;5.5M;Right;10;CM
J. Ito;28;Japan;77;KRC Genk;10.5M;Right;7;RW
Palhinha;25;Portugal;82;Sporting CP;41M;Right;6;CB
J. Dueñas;32;Mexico;73;Tigres U.A.N.L.;2.1M;Right;29;LB
K. Lala;29;France;76;Olympiacos CFP;6.5M;Right;27;RB
K. Acosta;25;United States;72;Colorado Rapids;3.1M;Right;23;CM
A. Bouchalakis;28;Greece;75;Olympiacos CFP;5.5M;Left;5;CM
Rosberto Dourado;21;Brazil;81;Sport Club Corinthians Paulista;27M;Right;22;CDM
D. D'Ambrosio;32;Italy;79;Inter;11.5M;Right;33;CB
S. Berghuis;29;Netherlands;81;Ajax;25.5M;Left;23;RW
19 Y. Brahimi;28;Algeria;85;FC Porto;39M;Right;8;RW
D. Kuzyaev;28;Russia;75;;0;Right;23;CM
Gao Late;30;China PR;79;Guangzhou FC;17M;Right;11;CF
M. Díaz;34;Chile;76;Club Libertad;2.6M;Right;11;CDM
G. Laborde;27;France;80;Stade Rennais FC;24.5M;Left;24;ST
K. Malong;25;Cameroon;73;Olympiacos CFP;4M;Right;18;CAM
M. Lopez;23;France;75;U.S. Sassuolo Calcio;8M;Right;8;CAM
S. Coleman;32;Republic of Ireland;78;Everton;9.5M;Right;23;RB
21 R. Rojas;32;Paraguay;71;Club Olimpia;1.5M;Right;8;CM
M. Lazzari;27;Italy;81;Lazio;25M;Right;29;RWB
Marco Asensio;25;Spain;83;Real Madrid CF;48M;Left;11;CAM
R. Sánchez;25;Paraguay;74;Club América;6M;Right;20;CM
D. Türüç;28;Turkey;74;İstanbul Başakşehir FK;4.2M;Left;23;RM
J. Brownhill;25;England;76;Burnley;10M;Right;8;CM
Júnior Caiçara;32;Brazil;75;İstanbul Başakşehir FK;3.9M;Right;80;RB
Toño García;31;Spain;74;SD Eibar;3.1M;Left;18;LB
O. Pineda;25;Mexico;77;Cruz Azul;14M;Right;10;RM
João Pedro;29;Brazil;80;Cagliari;21M;Right;10;CF
P. Olayinka;25;Nigeria;76;SK Slavia Praha;9.5M;Right;9;RM
Y. Yotún;31;Peru;72;Cruz Azul;1.9M;Left;19;CM
Manuel Fernandes;35;Portugal;73;Yukatel Kayserispor;1.2M;Right;8;CAM
Illarramendi;31;Spain;79;Real Sociedad;12.5M;Right;4;CDM
A. Taarabt;32;Morocco;77;SL Benfica;8.5M;Right;49;CAM
Unai Vencedor;20;Spain;75;Athletic Club de Bilbao;12.5M;Right;16;CM
J. Seri;29;Côte d'Ivoire;74;Fulham;3.6M;Right;24;CM
O. Şahiner;29;Turkey;72;İstanbul Başakşehir FK;2.3M;Right;42;RM
N. Maksimović;26;Serbia;79;Getafe CF;23M;Right;20;CDM
L. Rodríguez;30;Mexico;77;Tigres U.A.N.L.;9M;Right;28;RB
L. Blas;23;France;77;FC Nantes;16.5M;Left;10;CAM
D. Berardi;26;Italy;82;U.S. Sassuolo Calcio;33.5M;Left;25;RW
Álex Moreno;28;Spain;78;Real Betis Balompié;12.5M;Left;15;LB
A. Barák;26;Czech Republic;78;Hellas Verona;18.5M;Left;7;CAM
21 Guilherme;29;Brazil;77;Olympiacos CFP;9M;Right;8;CDM
18 E. Polański;31;Poland;74;TSG Hoffenheim;3.8M;Right;8;CDM
21 N. Bentaleb;25;Algeria;74;FC Schalke 04;5.5M;Left;10;CAM
17 E. Cambiasso;35;Argentina;77;Olympiacos CFP;2.4M;Left;19;CDM
19 I. Smolnikov;29;Russia;78;;0;Right;2;RB
20 M. Jensen;31;Denmark;73;Rosenborg BK;3.4M;Right;7;RM
21 M. Mandžukić;34;Croatia;78;AC Milan;7M;Right;9;ST
21 M. Zaracho;22;Argentina;76;Racing Club;17M;Right;28;CAM
Lucas Leiva;34;Brazil;81;Lazio;9M;Right;6;CDM
B. Dejaegere;30;Belgium;72;Toulouse Football Club;2.2M;Right;10;RWB
J. Fuenzalida;36;Chile;75;Universidad Católica;1.8M;Right;19;RM
16 Zé Roberto;40;Brazil;74;Palmeiras;0;Left;11;CAM
D. Machís;28;Venezuela;81;Granada CF;26M;Right;11;LM
L. Milivojević;30;Serbia;76;Crystal Palace;6.5M;Right;4;CDM
L. Dubois;26;France;78;Olympique Lyonnais;15M;Right;14;RB
J. Guðmundsson;30;Iceland;75;Burnley;5.5M;Left;7;RM
20 N. Cardozo;32;Argentina;74;Defensa y Justicia;4.3M;Right;10;CM
Roque Mesa;32;Spain;76;Real Valladolid CF;6M;Right;17;CM
J. Bryan;27;England;74;Fulham;4.1M;Left;23;LB
M. Frýdek;29;Czech Republic;74;FC Luzern;3.7M;Left;13;LB
20 D. Basta;34;Serbia;76;Lazio;2.7M;Right;8;RB
M. Debuchy;35;France;75;Valenciennes FC;1.7M;Right;26;RB
F. Fajr;32;Morocco;76;Demir Grup Sivasspor;6M;Right;76;CM
S. Uçan;27;Turkey;75;Beşiktaş JK;6.5M;Right;8;CM
A. Ioniță;30;Moldova;72;Benevento;2.2M;Right;23;CDM
Danilo Pereira;29;Portugal;81;Paris Saint-Germain;22M;Right;15;CDM
Álex Fernández;28;Spain;75;Cádiz CF;5.5M;Right;8;CM
P. Groß;30;Germany;76;Brighton & Hove Albion;7M;Right;13;CM
Enzo Chissano;29;Brazil;77;Palmeiras;9.5M;Left;7;LB
B. Acosta;27;Honduras;71;FC Dallas;2M;Right;8;CM
M. Kudus;20;Ghana;77;Ajax;23M;Left;20;CAM
21 Giuliano;30;Brazil;78;İstanbul Başakşehir FK;13.5M;Right;20;CAM
A. Parmak;26;Turkey;73;Trabzonspor;3.4M;Right;61;CM
Adrien Silva;32;Portugal;76;U.C. Sampdoria;6M;Right;5;CM
L. Insigne;30;Italy;86;Napoli;65.5M;Right;24;LW
L. De Silvestri;33;Italy;76;Bologna;3.9M;Right;29;RB
S. Larsson;36;Sweden;72;AIK;750K;Right;7;CM
M. Wolf;26;Germany;75;Borussia Dortmund;6.5M;Right;39;RM
A. Fukumori;28;Japan;73;Hokkaido Consadole Sapporo;2.6M;Left;5;CDM
Mário Rui;30;Portugal;78;Napoli;12M;Left;6;LB
Dani Rodríguez;33;Spain;75;RCD Mallorca;3.5M;Right;14;CAM
21 C. Fuchs;34;Austria;74;Leicester City;1.4M;Left;28;CB
J. Sosa;36;Argentina;76;Fenerbahçe SK;2.4M;Right;5;CM
Pablo Sarabia;29;Spain;80;Sporting CP;20.5M;Left;17;CAM
Bruno Peres;31;Brazil;76;Trabzonspor;5.5M;Right;33;RB
E. Skhiri;26;Tunisia;77;1. FC Köln;11.5M;Right;28;CDM
Pedri;18;Spain;81;FC Barcelona;54M;Right;16;CAM
21 Douglas Costa;29;Brazil;80;FC Bayern München;20.5M;Left;11;LM
D. Pröpper;29;Netherlands;75;PSV;5.5M;Right;14;CM
21 P. Hernández;33;Chile;73;Club Atlético Independiente;1.9M;Left;8;CM
R. Marin;25;Romania;74;Cagliari;6M;Right;8;CAM
N. Mazraoui;23;Morocco;80;Ajax;29.5M;Right;12;RB
J. Hendrick;29;Republic of Ireland;74;Newcastle United;4.1M;Right;16;CM
Pedro Santos;33;Portugal;75;Columbus Crew;3.5M;Left;7;LM
19 Hernanes;33;Brazil;78;Hebei FC;6M;Right;10;CM
M. Caktaš;29;Croatia;75;Damac FC;5.5M;Right;10;CAM
J. Grealish;25;England;84;Manchester City;50.5M;Right;10;CAM
17 F. Lampard;38;England;78;New York City FC;575K;Right;8;CM
T. Leibold;27;Germany;74;Hamburger SV;4.4M;Left;21;LB
Thiago Silva;36;Brazil;85;Chelsea;9.5M;Right;6;CB
20 I. Popov;31;Bulgaria;75;;0;Right;10;CAM
Castro;33;Portugal;73;SC Braga;1.9M;Right;88;CM
E. Capoue;32;France;78;Villarreal CF;11M;Right;6;CM
D. Liénard;33;France;74;RC Strasbourg Alsace;2.6M;Left;11;CM
21 N. Moro;22;Croatia;74;Dinamo Zagreb;9M;Right;27;CM
21 L. Gil;29;Argentina;73;Al Ittihad;3M;Left;83;CM
F. Neuhaus;24;Germany;82;Borussia Mönchengladbach;46M;Right;32;CM
F. Fabra;30;Colombia;78;Boca Juniors;12M;Left;18;LB
J. Hofmann;28;Germany;79;Borussia Mönchengladbach;17.5M;Right;23;RM
M. Diemers;27;Netherlands;73;Feyenoord;3.2M;Right;6;CM
B. Barišić;28;Croatia;75;Rangers FC;5M;Left;31;LB
Kenedy;24;Brazil;78;Chelsea;18M;Left;23;LM
D. Kreilach;32;Croatia;74;Real Salt Lake;3.4M;Right;8;ST
19 Douglas Santos;24;Brazil;77;Hamburger SV;9.5M;Left;6;LWB
S. Umtiti;27;France;80;FC Barcelona;19.5M;Left;23;CB
Igor Coronado;28;Brazil;76;Al Ittihad;7.5M;Right;77;RM
G. Montiel;24;Argentina;78;Sevilla FC;21M;Right;2;RWB
A. Maher;27;Netherlands;75;FC Utrecht;6M;Right;6;CM
I. Sangaré;23;Côte d'Ivoire;77;PSV;20M;Right;6;CB
21 E. Badu;29;Ghana;69;Hellas Verona;1.4M;Right;50;RW
Pozuelo;29;Spain;80;Toronto FC;20.5M;Right;10;CAM
A. Cicâldău;23;Romania;73;Galatasaray SK;4.8M;Right;33;CM
M. Rits;27;Belgium;76;Club Brugge KV;7.5M;Right;26;CDM
21 M. Isla;32;Chile;76;;0;Right;4;RB
H. Traoré;29;Mali;79;Stade Rennais FC;15.5M;Right;27;RB
E. Palacios;22;Argentina;77;Bayer 04 Leverkusen;17M;Right;25;CM
Y. Gerhardt;27;Germany;77;VfL Wolfsburg;12M;Left;31;CM
J. Schlupp;28;Ghana;75;Crystal Palace;5.5M;Left;15;LM
18 S. Eto'o;36;Cameroon;81;İttifak Holding Konyaspor;6.5M;Right;81;ST
M. Doherty;29;Republic of Ireland;78;Tottenham Hotspur;12.5M;Right;2;RB
S. Lainer;28;Austria;80;Borussia Mönchengladbach;19M;Right;18;RB
B. Cufré;24;Argentina;74;Málaga CF;8M;Left;24;LWB
C. Hourihane;30;Republic of Ireland;74;Sheffield United;4M;Left;24;CM
11 Guti;33;Spain;81;Beşiktaş JK;0;Left;14;CAM
V. Odjidja-Ofoe;32;Belgium;75;KAA Gent;4.4M;Right;8;CM
J. Hector;31;Germany;78;1. FC Köln;10M;Left;14;CDM
20 Granero;31;Spain;79;RCD Espanyol de Barcelona;11M;Right;23;CM
Moisés;33;Brazil;73;Shandong Taishan;1.5M;Right;10;CDM
